"id","dish_id","ingredient_id","ingredient_name","quantity_cook","quantity"
49337,M0157,NL3054,Tỏi băm,1.0,
48953,M0083,NL162,Sả cây,3.0,
49049,M0103,NL352,Nấm linh chi trắng,100.0,
48986,M0090,NL20,Cà chua,2.0,
48987,M0091,NL303,Gan bò,200.0,
48972,M0087,NL162,Sả bằm,2.0,
48990,M0091,NL3094,Ớt sừng băm,1.0,
48991,M0091,NL92,Bột năng,1.0,
48998,M0092,NL1130,Cần tàu,50.0,
49017,M0098,NL107,Mực ống,100.0,
48999,M0092,NL3062,Mè trắng rang,2.0,
49000,M0093,NL307,Đùi ếch to,300.0,
49073,M0108,NL107,Mực,150.0,
49002,M0093,NL70,Tôm khô,30.0,
49004,M0095,NL46,Hành lá,3.0,
49008,M0096,NL227,Whipping cream,150.0,
48906,M0074,NL4,Hành tây,0.5,
48904,M0074,NL877,Ớt chuông đỏ,0.5,
48910,M0075,NL1410,Nước chanh,1.0,
48911,M0075,NL1410,Vỏ chanh vàng mài,1.0,
48913,M0076,NL1410,Nước cốt chanh,1.0,
48931,M0079,NL1410,Nước cốt chanh,1.0,
48951,M0082,NL1410,Nước cốt chanh,1.0,
48982,M0089,NL1410,Chanh vàng,1.0,
48888,M0072,NL1368,Thịt cua,100.0,
48956,M0084,NL1368,Thịt cua,200.0,
48917,M0077,NL92,Nước bột năng,2.0,
48938,M0081,NL132,Thơm chín,100.0,
48988,M0091,NL132,Thơm chín,0.25,
48981,M0089,NL1410,Vỏ chanh mài,1.0,
63320,M0274,NL1107,Nước mắm,,
63323,M0274,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
63521,M0288,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
49012,M0097,NL316,Bông thiên lý,50.0,
63534,M0289,NL1107,Nước mắm,,
49014,M0097,NL3078,Mè rang,1.0,
49019,M0098,NL171,Nấm kim châm,150.0,
49020,M0098,NL50,Cải thảo,150.0,
49021,M0098,NL320,Rau tần ô,100.0,
49022,M0099,NL116,Sữa tươi không đường,160.0,
49023,M0099,NL322,Dầu ăn,1.0,
49024,M0099,NL75,Giò sống,50.0,
49026,M0099,NL219,Củ năng,30.0,
49027,M0099,NL55,Cà rốt,20.0,
49031,M0099,NL86,Lá dứa,1.0,
49033,M0100,NL332,Măng tây nhỏ,50.0,
49034,M0100,NL171,Nấm kim châm,100.0,
49035,M0100,NL55,Cà rốt,3.333,
49038,M0101,NL334,Lá ớt,200.0,
49039,M0101,NL46,Hành lá,2.0,
65771,M0485,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
49041,M0102,NL337,Dưa leo,200.0,
49028,M0099,NL46,Hành ngò,1.0,
49047,M0102,NL3078,Mè rang,1.0,
49015,M0098,NL1178,Mì gói Hàn Quốc,2.0,
49053,M0104,NL341,Mỡ gà,200.0,
49054,M0104,NL342,Bột nghệ,1.0,
49055,M0104,NL119,Hành tím,100.0,
49057,M0105,NL89,Bí đỏ,100.0,
49060,M0106,NL346,Rong nho,100.0,
49061,M0106,NL347,Bắp cải tím,80.0,
49052,M0104,NL1807,Gạo nếp Bắc,2.0,
49063,M0106,NL349,Cam Mỹ,1.0,
49048,M0103,NL1268,Nấm đùi gà chọn loại lớn,150.0,
49066,M0107,NL189,Thịt ba chỉ,100.0,
49068,M0107,NL351,Rau tía tô,20.0,
49069,M0107,NL187,Lá lốt,20.0,
49074,M0108,NL203,Thanh cua,6.0,
49075,M0108,NL352,Nấm linh chi,50.0,
49076,M0108,NL171,Nấm kim châm,50.0,
49077,M0108,NL26,Trứng gà,2.0,
49079,M0108,NL92,Bột năng,100.0,
49080,M0108,NL277,Lá chanh,4.0,
49081,M0109,NL337,Dưa leo,200.0,
49082,M0109,NL20,Cà chua,2.0,
49083,M0109,NL353,Củ cải trắng,50.0,
49025,M0099,NL174,Nấm hương,2.0,
49088,M0110,NL886,Nấm mối sơ chế sạch,200.0,
49086,M0109,NL3094,Ớt sừng băm,1.0,
49087,M0110,NL111,Nước cốt dừa,200.0,
49089,M0110,NL113,Ham chay,100.0,
49091,M0110,NL294,Bông điên điển,200.0,
49093,M0111,NL75,Giò sống,100.0,
49094,M0111,NL172,lá chúc,10.0,
49095,M0111,NL357,Lòng trắng trứng gà,0.5,
49096,M0111,NL46,Hành lá,10.0,
49097,M0111,NL119,Hành tím băm,1.0,
49045,M0102,NL1704,Rau húng lủi,30.0,
48997,M0092,NL15,Ớt sừng,1.0,
49042,M0102,NL1619,Cà chua bi,10.0,
49067,M0107,NL1619,Cà chua bi,150.0,
49007,M0096,NL1213,Phô mai kem,100.0,
49058,M0105,NL1213,Phô mai tam giác,2.0,
49018,M0098,NL1030,Thịt bò phi lê,100.0,
48995,M0092,NL41,Hành boa rô bằm,2.0,
49050,M0103,NL41,Hành boaro bằm,2.0,
49090,M0110,NL41,Boaro,1.0,
49056,M0104,NL1035,Thịt gà ta,0.5,
49006,M0095,NL3054,Hành tỏi băm,1.0,
49029,M0099,NL3054,Hành tỏi băm,1.0,
49046,M0102,NL3054,Tỏi ớt băm,1.0,
49070,M0107,NL3054,Hành tỏi băm,2.0,
48992,M0092,NL1049,Tàu hũ ky cọng tươi,300.0,
49032,M0100,NL1049,Tàu hũ ky lá tươi,200.0,
49016,M0098,NL1052,Tôm sú,100.0,
49065,M0107,NL1052,Tôm sú,200.0,
49072,M0108,NL1052,Tôm sú,8.0,
48984,M0090,NL1052,Tôm tươi,100.0,
49104,M0113,NL2729,Bạch tuộc loại nhỏ,600.0,
49099,M0112,NL262,Khoai tây,1.0,
49100,M0112,NL55,Cà rốt,50.0,
49101,M0112,NL51,Đậu que Nhật,50.0,
49059,M0105,NL903,Chà bông gà,50.0,
49103,M0112,NL66,Củ radish,50.0,
49106,M0113,NL162,Sả,3.0,
49107,M0113,NL119,Hành tím,3.0,
49109,M0113,NL277,Lá chanh,4.0,
49112,M0114,NL3086,Xốt mận,3.0,
49117,M0115,NL107,Mực ống,100.0,
49147,M0121,NL107,Mực nguyên con,100.0,
49121,M0115,NL71,Mỡ heo,100.0,
49123,M0116,NL214,Đậu hũ trắng,300.0,
49124,M0116,NL55,Cà rốt,50.0,
49125,M0116,NL26,Trứng gà,2.0,
49126,M0116,NL3185,Bột xù,200.0,
49127,M0116,NL79,Bột mì,100.0,
49129,M0116,NL160,ngò gai,5.0,
49130,M0117,NL71,Mỡ heo,100.0,
49131,M0117,NL46,Hành lá,5.0,
49043,M0102,NL4,Hành tây,0.5,
49062,M0106,NL372,Bắp cải trắng,80.0,
49010,M0096,NL1410,Nước cốt chanh,3.0,
49064,M0106,NL1410,Chanh Mỹ vàng,1.0,
49084,M0109,NL1410,Nước chanh vàng,3.0,
49098,M0111,NL1410,Nước cốt chanh,1.0,
49092,M0110,NL409,Giá sống,300.0,
49051,M0103,NL92,Nước bột năng,0.5,
49115,M0115,NL965,Rau nhút lặt sạch,200.0,
49105,M0113,NL132,Thơm,16.666,
